s_id,r_id,o_id,confidence,source
350,0,351,1.0,extracted
350,1,2,1.0,extracted
350,2,3,1.0,extracted
350,4,17,1.0,extracted
350,4,38,1.0,extracted
350,4,95,1.0,extracted
350,2,27,1.0,extracted
350,2,18,1.0,extracted
350,3,4,1.0,extracted
350,4,352,1.0,extracted
350,2,7,1.0,extracted
353,0,354,1.0,extracted
353,1,2,1.0,extracted
353,2,3,1.0,extracted
353,4,17,1.0,extracted
353,4,38,1.0,extracted
353,4,95,1.0,extracted
353,2,27,1.0,extracted
353,2,18,1.0,extracted
353,3,4,1.0,extracted
353,4,352,1.0,extracted
353,2,7,1.0,extracted
355,0,356,1.0,extracted
355,1,2,1.0,extracted
355,2,18,1.0,extracted
355,4,40,1.0,extracted
355,2,6,1.0,extracted
355,2,72,1.0,extracted
355,2,7,1.0,extracted
357,0,358,1.0,extracted
357,1,2,1.0,extracted
357,2,18,1.0,extracted
357,4,40,1.0,extracted
357,2,6,1.0,extracted
357,2,72,1.0,extracted
357,2,7,1.0,extracted
359,0,360,1.0,extracted
359,1,2,1.0,extracted
361,0,362,1.0,extracted
361,1,2,1.0,extracted
363,0,364,1.0,extracted
363,1,2,1.0,extracted
363,2,3,1.0,extracted
363,4,104,1.0,extracted
363,2,7,1.0,extracted
363,3,8,1.0,extracted
365,0,366,1.0,extracted
365,1,2,1.0,extracted
365,2,3,1.0,extracted
365,4,104,1.0,extracted
365,2,7,1.0,extracted
365,3,8,1.0,extracted
367,0,368,1.0,extracted
367,1,2,1.0,extracted
367,2,3,1.0,extracted
367,4,17,1.0,extracted
367,2,71,1.0,extracted
367,2,6,1.0,extracted
367,2,7,1.0,extracted
367,2,19,1.0,extracted
369,0,370,1.0,extracted
369,1,2,1.0,extracted
369,2,3,1.0,extracted
369,4,17,1.0,extracted
369,2,71,1.0,extracted
369,2,6,1.0,extracted
369,2,7,1.0,extracted
369,2,19,1.0,extracted
371,0,372,1.0,extracted
371,1,2,1.0,extracted
371,2,18,1.0,extracted
371,4,40,1.0,extracted
371,2,6,1.0,extracted
371,2,7,1.0,extracted
373,0,374,1.0,extracted
373,1,2,1.0,extracted
373,2,18,1.0,extracted
373,4,40,1.0,extracted
373,2,6,1.0,extracted
373,2,7,1.0,extracted
375,0,376,1.0,extracted
375,1,2,1.0,extracted
375,2,19,1.0,extracted
377,0,378,1.0,extracted
377,1,2,1.0,extracted
377,2,3,1.0,extracted
377,4,70,1.0,extracted
377,2,7,1.0,extracted
